film_title,category_name,rental_count,rentalcount_sum
Silence Kane,Music,16,51
Confidential Interview,Music,29,51
Uncut Suicides,Music,14,51
Driving Polish,Music,21,51
Balloon Homeward,Music,23,51
Reds Pocus,Music,9,51
Go Purple,Music,20,51
Home Pity,Music,14,51
Boogie Amelie,Music,29,51
Rebel Airport,Music,8,51
Wizard Coldblooded,Music,16,51
Personal Ladybugs,Music,14,51
Alone Trip,Music,18,51
Scalawag Duck,Music,32,51
Monster Spartacus,Music,15,51
Freaky Pocus,Music,17,51
Jawbreaker Brooklyn,Music,10,51
Amelie Hellfighters,Music,10,51
Terminator Club,Music,6,51
Vanishing Rocky,Music,18,51
Grosse Wonderful,Music,8,51
Roman Punk,Music,24,51
Hanover Galaxy,Music,17,51
Deer Virginian,Music,29,51
Outfield Massacre,Music,20,51
Minority Kiss,Music,12,51
Elf Murder,Music,7,51
Impact Aladdin,Music,9,51
Dorado Notting,Music,27,51
Oleander Clue,Music,10,51
Birch Antitrust,Music,11,51
Won Dares,Music,9,51
Clones Pinocchio,Music,19,51
Heavenly Gun,Music,7,51
Words Hunter,Music,16,51
Enemy Odds,Music,29,51
Runner Madigan,Music,8,51
Chamber Italian,Music,13,51
Insider Arizona,Music,20,51
Alaska Phantom,Music,26,51
Taxi Kick,Music,17,51
Song Hedwig,Music,11,51
Youth Kick,Music,6,51
Birdcage Casper,Music,9,51
Banger Pinocchio,Music,22,51
Legend Jedi,Music,9,51
Telegraph Voyage,Music,27,51
Lucky Flying,Music,13,51
Masked Bubble,Music,20,51
Greatest North,Music,29,51
Clue Grail,Music,7,51
Basic Easy,Travel,21,53
Cassidy Wyoming,Travel,6,53
Kick Savannah,Travel,20,53
Horror Reign,Travel,27,53
Casablanca Super,Travel,16,53
Family Sweet,Horror,29,53
Bowfinger Gables,Horror,11,53
Panic Club,Horror,7,53
Ace Goldfinger,Horror,7,53
Ali Forever,Horror,9,53
Monterey Labyrinth,Horror,13,53
Watership Frontier,Horror,6,53
Tarzan Videotape,Horror,8,53
Motions Details,Horror,16,53
Love Suicides,Horror,20,53
Japanese Run,Horror,6,53
Zhivago Core,Horror,9,53
Desert Poseidon,Horror,19,53
Arachnophobia Rollercoaster,Horror,24,53
Paris Weekend,Horror,14,53
Factory Dragon,Travel,17,53
Muscle Bright,Travel,30,53
Leathernecks Dwarfs,Travel,7,53
Shawshank Bubble,Travel,19,53
Games Bowfinger,Travel,14,53
Madigan Dorado,Travel,10,53
Valentine Vanishing,Travel,12,53
Expecations Natural,Travel,18,53
Frogmen Breaking,Travel,10,53
Outlaw Hanky,Travel,14,53
Boiled Dares,Travel,15,53
Desperate Trainspotting,Travel,6,53
Smile Earring,Travel,10,53
Drumline Cyclone,Travel,11,53
Sweet Brotherhood,Travel,15,53
Enough Raging,Travel,18,53
Disciple Mother,Travel,19,53
Shining Roses,Travel,8,53
Shane Darkness,Travel,14,53
Speed Suit,Travel,9,53
Working Microcosmos,Travel,25,53
Teen Apollo,Travel,17,53
Escape Metropolis,Travel,25,53
Bird Independence,Travel,11,53
Fellowship Autumn,Travel,26,53
Trouble Date,Travel,23,53
Born Spinal,Travel,12,53
Tomatoes Hellfighters,Travel,14,53
Others Soup,Travel,23,53
Window Side,Travel,12,53
Shanghai Tycoon,Travel,14,53
Haunted Antitrust,Travel,6,53
Bucket Brotherhood,Travel,34,53
Contact Anonymous,Travel,26,53
Stone Fire,Travel,11,53
Swarm Gold,Horror,27,53
Affair Prejudice,Horror,23,53
Arabia Dogma,Horror,13,53
Temple Attraction,Horror,12,53
Egypt Tenenbaums,Horror,17,53
Elephant Trojan,Horror,14,53
Lady Stage,Horror,17,53
World Leathernecks,Horror,8,53
Lola Agent,Horror,24,53
